,PromptTokens,DecodeTokens,UserID,ArrivalTime
18716,1422,143,11213,0
18717,2508,352,9595,2
18718,1583,154,8291,2
18719,6195,232,11214,3
18720,1908,164,11215,6
18721,417,34,37344,7
18722,1062,347,11209,7
18723,527,118,6103,9
18724,4150,334,142559,9
18725,2385,192,10780,13
18726,13998,188,11216,15
18727,3017,146,37347,19
18728,1273,101,11219,20
18729,1115,318,142560,20
18730,2235,181,36885,21
18731,4082,424,14408,22
18732,5432,391,11218,23
18733,3163,190,11221,24
18734,2570,195,10365,25
18735,1314,200,11220,28
18736,506,99,6103,28
18737,8367,191,11224,29
18738,6139,251,11223,30
18739,3677,228,44985,31
18740,1677,159,6103,31
18741,2054,205,142561,32
18742,1120,111,11645,33
18743,1150,222,8291,33
18744,3736,158,11227,34
18745,2722,259,11228,35
18746,3744,345,11211,36
18747,612,91,83836,37
18748,2322,189,142562,37
18749,1770,197,11162,37
18750,7967,282,142563,39
18751,5302,172,142485,39
18752,1066,137,142564,40
18753,1123,253,10468,40
18754,3173,146,142565,41
18755,1619,136,11229,42
18756,800,229,11645,44
18757,2503,308,10386,46
18758,3335,413,11214,46
18759,9888,173,10048,48
18760,6278,159,11230,49
18761,863,234,141133,49
18762,3355,288,8641,49
18763,600,182,11219,52
18764,2007,372,142566,54
18765,3769,290,11233,56
18766,2992,168,142567,58
18767,7607,189,142490,59
18768,3894,179,142568,59
18769,3721,296,142569,59
18770,5137,178,142570,63
18771,1428,281,11220,65
18772,8016,247,142571,68
18773,711,216,83836,68
18774,1701,204,11241,69
18775,18964,289,36306,70
18776,835,147,8925,70
18777,802,133,142572,70
18778,2249,162,137488,71
18779,4411,365,35614,73
18780,5627,179,729,74
18781,25197,225,142573,76
18782,10575,216,11246,76
18783,6097,202,142574,78
18784,6224,257,142575,79
18785,2055,317,11227,79
18786,1037,227,142576,81
18787,19804,172,11239,81
18788,2886,225,8169,81
18789,19248,206,142577,82
18790,2026,166,37346,83
18791,3011,100,11237,83
18792,5598,247,142578,83
18793,5191,303,142579,83
18794,1508,240,71100,84
18795,483,46,71110,84
18796,4323,196,11242,85
18797,2423,165,11238,86
18798,1488,132,142580,86
18799,2650,324,11228,87
18800,1613,161,9930,87
18801,8868,194,142581,87
18802,15050,188,142555,87
18803,1549,287,11221,88
18804,2550,203,11537,88
18805,6195,240,11214,88
18806,6860,218,142582,89
18807,7423,218,10013,89
18808,17483,206,142423,90
18809,1851,392,10386,91
18810,417,52,71110,91
18811,3065,270,11172,92
18812,3402,166,142583,93
18813,5842,157,142584,93
18814,4819,313,11224,94
18815,1149,287,11229,94
18816,4460,251,142585,95
18817,931,162,11243,96
18818,8772,524,11250,96
18819,1084,157,11245,97
18820,1537,243,142586,97
18821,1231,252,11248,99
18822,1828,233,13155,100
18823,1499,357,70896,101
18824,6190,250,11256,101
18825,783,176,11247,102
18826,4958,316,61062,103
18827,4680,159,142545,103
18828,6159,166,142587,104
18829,5698,199,142588,106
18830,6824,198,11253,107
18831,8319,274,11266,107
18832,1495,282,11251,108
18833,974,141,84371,109
18834,2203,174,142589,109
18835,4815,298,10048,110
