PromptTokens,DecodeTokens,UserID,TIMESTAMP,app,input99app,output99app,sys99app,llmcalls,llmcalls_made,interaction_id,ArrivalTime
1422,143,11213,2024-09-04 06:00:00,0,19765.080000000005,501.41000000000025,0,1.0,0.0,0,0
4034,27,243547,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,1.0,0.0,7561,0
4019,14,253538,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,5.0,2.0,7559,0
2859,27,327626,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,12.0,1.0,7534,0
10580,14,312608,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,4.0,1.0,7542,0
8932,401,253538,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,1.0,0.0,7560,0
3570,9,253538,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,5.0,1.0,7559,0
3449,9,253538,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,5.0,0.0,7559,0
710,30,11162,2024-09-04 06:00:00,5,15617.039999999963,417.0799999999999,0,2.0,1.0,1918,0
709,18,6,2024-09-04 06:00:00,5,15617.039999999963,417.0799999999999,0,1.0,0.0,1921,0
9745,82,333234,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,3.0,0.0,7562,0
1636,41,6103,2024-09-04 06:00:00,5,15617.039999999963,417.0799999999999,0,3.0,0.0,1920,0
5974,22,11162,2024-09-04 06:00:00,5,15617.039999999963,417.0799999999999,0,2.0,0.0,1918,0
325,4,338287,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,7.0,1.0,7557,0
4261,31,325465,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,1.0,0.0,7558,0
5257,52,338280,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,4.0,1.0,7537,0
5935,14,257800,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,5.0,1.0,7553,0
5220,37,60598,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,4.0,1.0,7548,0
353,1,338287,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,7.0,0.0,7557,0
3575,31,338302,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,2.0,1.0,7555,0
661,6,119496,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,4.0,0.0,7556,0
6138,23,6,2024-09-04 06:00:00,5,15617.039999999963,417.0799999999999,0,1.0,0.0,1919,0
2910,28,338302,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,2.0,0.0,7555,0
17787,3,337009,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,2.0,0.0,7563,0
4864,52,338114,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,2.0,1.0,7545,0
20529,235,6103,2024-09-04 06:00:00,21,54182.2,1993.3999999999994,0,1.0,0.0,10832,0
7497,348,6103,2024-09-04 06:00:00,21,54182.2,1993.3999999999994,0,1.0,0.0,10833,0
24262,451,6103,2024-09-04 06:00:00,21,54182.2,1993.3999999999994,0,1.0,0.0,10834,0
63960,153,6103,2024-09-04 06:00:00,21,54182.2,1993.3999999999994,0,1.0,0.0,10835,0
47023,1095,6103,2024-09-04 06:00:00,21,54182.2,1993.3999999999994,0,1.0,0.0,10836,0
21647,407,6103,2024-09-04 06:00:00,21,54182.2,1993.3999999999994,0,1.0,0.0,10837,0
2388,756,142433,2024-09-04 06:00:00,23,3690.060000000003,1599.9400000000012,0,10.0,0.0,12551,0
1482,4,6103,2024-09-04 06:00:00,8,1876.0800000000004,11.0,0,,,4759,0
945,4,6103,2024-09-04 06:00:00,8,1876.0800000000004,11.0,0,,,4758,0
4484,20,253538,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,5.0,3.0,7559,0
922,4,6103,2024-09-04 06:00:00,8,1876.0800000000004,11.0,0,,,4757,0
16195,239,123493,2024-09-04 06:00:00,9,21119.0,492.5,0,1.0,0.0,5726,0
508,6,124032,2024-09-04 06:00:00,9,21119.0,492.5,0,5.0,0.0,5727,0
5806,19,124032,2024-09-04 06:00:00,9,21119.0,492.5,0,5.0,1.0,5727,0
151,1,6103,2024-09-04 06:00:00,2,3053.94,263.47,0,1.0,0.0,259,0
8497,19,61056,2024-09-04 06:00:00,19,11625.800000000001,364.65000000000003,0,1.0,0.0,10622,0
354,1,6103,2024-09-04 06:00:00,19,11625.800000000001,364.65000000000003,0,2.0,0.0,10621,0
7112,50,336646,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,4.0,1.0,7546,0
21100,3,139747,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,2.0,0.0,7565,0
19051,377,324311,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,1.0,0.0,7564,0
1374,6,6103,2024-09-04 06:00:00,8,1876.0800000000004,11.0,0,,,4756,0
40007,246,6103,2024-09-04 06:00:00,21,54182.2,1993.3999999999994,0,1.0,0.0,10831,0
4843,51,312891,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,1.0,0.0,7554,0
535,6,253538,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,4.0,0.0,7552,0
7232,83,12396,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,3.0,0.0,7536,0
1118,6,325465,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,4.0,1.0,7533,0
23843,455,44736,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,1.0,0.0,7535,0
4252,62,327626,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,12.0,0.0,7534,0
5854,14,325465,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,4.0,0.0,7533,0
4828,6,326690,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,4.0,0.0,7532,0
1798,157,71447,2024-09-04 06:00:00,16,12431.349999999964,240.16999999999996,0,1.0,0.0,7371,0
1798,140,71446,2024-09-04 06:00:00,16,12431.349999999964,240.16999999999996,0,1.0,0.0,7370,0
7573,18,828,2024-09-04 06:00:00,15,30546.399999999998,382.9299999999995,0,2.0,0.0,7338,0
530,6,338280,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,4.0,0.0,7537,0
350,1,65477,2024-09-04 06:00:00,14,35354.55000000004,776.8000000000002,0,3.0,0.0,7065,0
3309,28,257790,2024-09-04 06:00:00,14,35354.55000000004,776.8000000000002,0,2.0,0.0,7063,0
1690,263,944,2024-09-04 06:00:00,14,35354.55000000004,776.8000000000002,0,1.0,0.0,7062,0
10250,92,6103,2024-09-04 06:00:00,10,52033.49000000002,161.2900000000002,0,1.0,0.0,5962,0
28200,54,6103,2024-09-04 06:00:00,10,52033.49000000002,161.2900000000002,0,1.0,0.0,5963,0
16109,107,6103,2024-09-04 06:00:00,10,52033.49000000002,161.2900000000002,0,1.0,0.0,5964,0
1082,128,6103,2024-09-04 06:00:00,2,3053.94,263.47,0,1.0,0.0,263,0
176,1,6103,2024-09-04 06:00:00,2,3053.94,263.47,0,1.0,0.0,262,0
1395,74,6103,2024-09-04 06:00:00,2,3053.94,263.47,0,1.0,0.0,261,0
1335,53,6103,2024-09-04 06:00:00,2,3053.94,263.47,0,1.0,0.0,260,0
11666,481,256446,2024-09-04 06:00:00,14,35354.55000000004,776.8000000000002,0,1.0,0.0,7064,0
971,6,257800,2024-09-04 06:00:00,17,24202.6,586.7999999999993,0,5.0,0.0,7553,0
4312,176,178489,2024-09-04 06:00:00,3,4411.68,389.6800000000005,0,1.0,0.0,1410,0
3120,400,186047,2024-09-04 06:00:00,3,4411.68,389.6800000000005,0,2.0,0.0,1412,0
