Unnamed: 0,adapter_dir,prompt_len,output_len,request_latency,first_token_latency,req_time,interaction_id,req_id,sys_len,app,input99app,sys99app,output99app,priorityfactor,app_limit,llmcalls,llmcalls_made,throughput,service_received,inputratio,sysratio,outratio,service_ratio,tokenpersec
0,dummy-lora-7b-rank-8-0,178,18,2.8345112800598145,1.613434076309204,0.0,0,0,0,2,25772,1,522,1,2000,1,1,14.741082664316345,0.06213549600317094,0.006906720471829893,0.0,0.034482758620689655,0.0758722377132092,175.25509389798322
1,dummy-lora-7b-rank-8-2,532,8,1.8365395069122317,1.6119039058685305,0.0,160977,2,0,2,24866,1,590,1,2000,12,1,35.61323299971343,0.21596451899370492,0.02139467546046811,0.0,0.013559322033898305,0.04851331952826472,2439.50646048037
2,dummy-lora-7b-rank-8-3,732,2,1.6662776470184326,1.6110737323760986,0.0,160976,3,0,2,24866,1,590,1,2000,4,1,36.229314767947066,0.6560666537406623,0.02943778653583206,0.0,0.003389830508474576,0.03621744755278121,13332.38783460452
3,dummy-lora-7b-rank-8-4,604,1,1.6099987030029297,1.6097609996795654,0.0,160975,4,0,2,24866,1,590,1,2000,4,1,4206.924774322969,116.4477869485093,0.024290195447599132,0.0,0.001694915254237288,0.027680025956073707,2549396.4132397193
4,dummy-lora-7b-rank-8-5,225,20,2.884285449981689,1.609410285949707,0.0,157161,5,0,2,14995,1,287,1,2000,1,1,15.68781051216578,0.12109250248364019,0.015005001667222408,0.0,0.06968641114982578,0.15437782396687397,207.8634892861966
5,dummy-lora-7b-rank-8-6,225,18,2.829210996627808,1.6081347465515137,0.0,157160,6,0,2,14995,1,287,1,2000,1,1,14.741094177268076,0.11501373622501782,0.015005001667222408,0.0,0.0627177700348432,0.1404405417369088,213.7458655703871
6,dummy-lora-7b-rank-8-7,947,3,2.6835618019104004,2.625789165496826,0.0,156466,7,0,2,30310,1,518,1,2000,2,1,51.927697717030654,0.7412994830152286,0.031243813922797757,0.0,0.005791505791505791,0.04282682550580934,16495.698641443403
7,dummy-lora-7b-rank-8-8,44,1,2.625088930130005,2.624814748764038,0.0,156465,8,0,2,45254,1,733,1,2000,1,1,3647.2208695652175,13.497644851721777,0.0009722897423432182,0.0,0.001364256480218281,0.00370080270277978,167772.16
8,dummy-lora-7b-rank-8-9,44,1,2.624264478683472,2.623936653137207,0.0,149744,9,0,2,45254,1,733,1,2000,3,1,3050.402909086777,11.288939330515648,0.0009722897423432182,0.0,0.001364256480218281,0.00370080270277978,140318.53381799173
9,dummy-lora-7b-rank-8-10,1459,61,8.809725284576416,2.623425245285034,0.0,149743,10,0,2,45254,1,733,1,2000,1,1,9.860498135002732,0.03211605212826432,0.03224024395633535,0.0,0.08321964529331514,0.19867953454296564,255.56471395802163
10,dummy-lora-7b-rank-8-11,414,4,2.706695079803467,2.621753931045532,0.0,149742,11,0,2,45254,1,733,1,2000,2,1,47.09142810629022,0.2361919365442533,0.009148362575683917,0.0,0.005457025920873124,0.020062414417430167,4968.1456652136185
11,dummy-lora-7b-rank-8-12,212,33,6.08162522315979,2.621358871459961,0.0,149741,12,0,2,45254,1,733,1,2000,1,1,9.536838106057646,0.027375232662779303,0.004684668758562779,0.0,0.045020463847203276,0.09472559645296934,80.34063616618259
12,dummy-lora-7b-rank-8-13,711,77,11.260921001434326,2.6198151111602783,0.0,149740,13,0,2,39047,1,1325,1,2000,1,1,8.910896472946472,0.015557642975711756,0.018208825261863907,0.0,0.05811320754716981,0.13443524035620352,100.10292791037271
13,dummy-lora-7b-rank-8-3,140,1,2.619070529937744,2.61877703666687,0.0,160976,14,0,2,24866,1,590,1,2000,4,2,3407.23314378554,30.733271104879993,0.005630177752754766,0.0,0.001694915254237288,0.009020008261229341,483827.1064175467
14,dummy-lora-7b-rank-8-14,959,9,2.847693681716919,2.617050886154175,0.0,142163,15,0,2,56808,1,157,1,2000,1,1,39.02137926329304,0.57028057763143,0.016881425151387127,0.0,0.05732484076433121,0.13153110668004955,4235.9875044708115
15,dummy-lora-7b-rank-8-14,197,6,2.7545483112335205,2.6165101528167725,0.0,142160,17,0,2,56808,1,157,1,2000,1,1,43.466242007413115,0.5788322835449743,0.003467821433600901,0.0,0.03821656050955414,0.07990094245270918,1514.0740965915568
16,dummy-lora-7b-rank-8-14,1282,12,3.948320388793945,2.6155354976654053,0.0,129887,20,0,2,56808,1,157,1,2000,1,1,9.003703508252531,0.1316292578465543,0.022567244050133783,0.0,0.07643312101910828,0.17543348608835033,979.9030651481505
17,dummy-lora-7b-rank-8-15,471,1,2.614276647567749,2.6137585639953613,0.0,129886,21,0,2,23936,1,634,1,2000,3,3,1930.1905200184078,44.070201433521596,0.019677473262032084,0.0,0.0015772870662460567,0.0228320473945242,912980.1159687069
18,dummy-lora-7b-rank-8-17,726,3,2.670844078063965,2.6130788326263428,0.0,125897,23,0,2,23936,1,634,1,2000,5,2,51.93434178756423,0.6889022014697369,0.030330882352941176,0.0,0.00473186119873817,0.03979460475041752,12671.979396165672
19,dummy-lora-7b-rank-8-17,64,1,2.612196207046509,2.611834049224853,0.0,125897,24,0,2,23936,1,634,1,2000,5,1,2761.2271231039217,16.093455878682246,0.00267379679144385,0.0,0.0015772870662460567,0.005828370923935964,182240.99012485883
20,dummy-lora-7b-rank-8-19,224,1,2.611191511154175,2.6108357906341557,0.0,125894,27,0,2,23936,1,634,1,2000,4,1,2811.1957104592734,35.176106517201134,0.009358288770053475,0.0,0.0015772870662460567,0.012512862902545588,635330.2305637959
21,dummy-lora-7b-rank-8-20,661,3,2.6675772666931152,2.609213590621948,0.0,125893,28,0,2,23936,1,634,1,2000,1,1,51.40183418778939,0.6353100486489913,0.027615307486631015,0.0,0.00473186119873817,0.037079029884107356,11428.341134418508
22,dummy-lora-7b-rank-8-14,828,8,2.811673879623413,2.608912706375122,0.0,142162,29,0,2,56808,1,157,1,2000,1,1,39.45528560442688,0.5744997332238235,0.014575411913814956,0.0,0.050955414012738856,0.11648623993929266,4162.532631267035
23,dummy-lora-7b-rank-8-14,219,1,2.6079211235046387,2.607495784759521,0.0,125892,30,0,2,1957,1,11,1,2000,1,1,2351.0672645715363,690.5652582285421,0.11190597853857946,0.0,0.09090909090909091,0.2937241603567613,519585.8654703095
24,dummy-lora-7b-rank-8-21,904,11,2.890558242797852,2.60660982131958,0.0,160979,31,0,2,24866,1,590,1,2000,3,1,38.73943000891707,0.25935343211443296,0.03635486206064506,0.0,0.01864406779661017,0.0736429976538654,3261.155653477928
25,dummy-lora-7b-rank-8-22,358,6,2.743354320526123,2.605360507965088,0.0,160981,32,0,2,24866,1,590,1,2000,1,1,43.48021037063657,0.25172253183732424,0.014397168824901472,0.0,0.010169491525423728,0.034736151875748925,2681.2796395225887
26,dummy-lora-7b-rank-8-23,658,7,2.7693490982055664,2.604384660720825,0.0,160980,33,0,2,24866,1,590,1,2000,4,2,42.433388109164326,0.30425132690742474,0.026461835437947397,0.0,0.011864406779661017,0.05019064899726943,4073.605258479776
27,dummy-lora-7b-rank-8-24,742,2,3.936180830001831,3.894094944000244,0.0,160995,34,0,2,24866,1,590,1,2000,5,2,47.52186991915976,0.8701160076603498,0.02983994208960026,0.0,0.003389830508474576,0.03661960310654941,17725.65747984659
