Unnamed: 0,adapter_dir,prompt_len,output_len,request_latency,first_token_latency,req_time,interaction_id,req_id,sys_len,app,input99app,sys99app,output99app,priorityfactor,app_limit,llmcalls,llmcalls_made,throughput,service_received,inputratio,sysratio,outratio,service_ratio,tokenpersec,avg_throughput,avg_service,avg_response,avg_serviceratio,avg_tokenpersec
0,dummy-lora-7b-rank-8-0,178,18,2.629811286926269,1.5155715942382812,0.0,0,0,0,2,25772,1,522,1,2000,1,1,16.15451335841112,0.0680932820928101,0.006906720471829893,0.0,0.034482758620689655,0.0758722377132092,192.05921437222108,181.48248404998085,1.290764188961127,82.11485050618649,0.10229240233661686,10774.284679110362
1,dummy-lora-7b-rank-8-2,532,8,1.743436574935913,1.5142996311187744,0.0,160977,2,0,2,24866,1,590,1,2000,12,1,34.913619195271934,0.211721945488548,0.02139467546046811,0.0,0.013559322033898305,0.04851331952826472,2391.5829148761277,67.96348515545897,0.4397014329652287,38.03781201442083,0.06982767748124297,5340.796965557708
2,dummy-lora-7b-rank-8-3,732,2,2.4640111923217773,2.4274089336395264,0.0,160976,3,0,2,24866,1,590,1,2000,4,1,54.6414366764156,0.9894866835183489,0.02943778653583206,0.0,0.003389830508474576,0.03621744755278121,20108.04869692094,681.439878629972,6.371487515113655,17.34514421224594,0.048274094108290685,99251.17750053968
3,dummy-lora-7b-rank-8-4,604,1,2.427248001098633,2.426973581314087,0.0,160975,4,0,2,24866,1,590,1,2000,4,1,3644.05212858384,100.86745750448634,0.024290195447599132,0.0,0.001694915254237288,0.027680025956073707,2208295.589921807,595.0230057567816,16.16311297867259,120.9333227114244,0.043723075040720004,351807.7157363934
4,dummy-lora-7b-rank-8-5,225,20,3.961952209472656,2.4265570640563965,0.0,157161,5,0,2,14995,1,287,1,2000,1,1,13.025962769068038,0.10054598936811199,0.015005001667222408,0.0,0.06968641114982578,0.15437782396687397,172.5940066901515,13.025962769068038,0.10054598936811199,2.4265570640563965,0.15437782396687397,172.5940066901515
5,dummy-lora-7b-rank-8-6,225,18,3.907371997833252,2.4253952503204346,0.0,157160,6,0,2,14995,1,287,1,2000,1,1,12.145939556885201,0.09476568507070599,0.015005001667222408,0.0,0.0627177700348432,0.1404405417369088,176.1161235748354,12.145939556885201,0.09476568507070599,2.4253952503204346,0.1404405417369088,176.1161235748354
6,dummy-lora-7b-rank-8-7,947,3,2.488591194152832,2.423976421356201,0.0,156466,7,0,2,30310,1,518,1,2000,2,1,46.42901104739977,0.6628023848447613,0.031243813922797757,0.0,0.005791505791505791,0.04282682550580934,14748.949176057326,45.96777108117162,0.522717914008562,24.53741318838937,0.04914164774196235,8216.366451751646
7,dummy-lora-7b-rank-8-8,44,1,2.4241044521331787,2.423819303512573,0.0,156465,8,0,2,45254,1,733,1,2000,1,1,3506.9431438072475,12.97850466509688,0.0009722897423432182,0.0,0.001364256480218281,0.00370080270277978,161319.38461513337,3506.9431438072475,12.97850466509688,2.423819303512573,0.00370080270277978,161319.38461513337
8,dummy-lora-7b-rank-8-9,44,1,2.423250436782837,2.4229612350463867,0.0,149744,9,0,2,45254,1,733,1,2000,3,1,3457.7938994229185,12.796613008639772,0.0009722897423432182,0.0,0.001364256480218281,0.00370080270277978,159058.51937345424,1762.7990819800054,6.6863376277828355,9.244017004966736,0.01034636028345327,88445.52047335477
9,dummy-lora-7b-rank-8-10,1459,61,8.698560237884521,2.422365665435791,0.0,149743,10,0,2,45254,1,733,1,2000,1,1,9.719265280234954,0.03165605085207683,0.03224024395633535,0.0,0.08321964529331514,0.19867953454296564,251.90423619756493,857.00648718356,3.190140110064189,27.178133487701416,0.11419243366124246,40260.77293948252
10,dummy-lora-7b-rank-8-11,414,4,2.5122358798980717,2.421461343765259,0.0,149742,11,0,2,45254,1,733,1,2000,2,1,44.065221045553656,0.22101368150289075,0.009148362575683917,0.0,0.005457025920873124,0.020062414417430167,4648.880820305911,44.065221045553656,0.22101368150289075,2.421461343765259,0.020062414417430167,4648.880820305911
11,dummy-lora-7b-rank-8-12,212,33,6.056798219680786,2.420201063156128,0.0,149741,12,0,2,45254,1,733,1,2000,1,1,9.074417258670659,0.026047866281536273,0.004684668758562779,0.0,0.045020463847203276,0.09472559645296934,76.445090845771,9.074417258670659,0.026047866281536273,2.420201063156128,0.09472559645296934,76.445090845771
12,dummy-lora-7b-rank-8-13,711,77,11.083753824234009,2.4183578491210938,0.0,149740,13,0,2,39047,1,1325,1,2000,1,1,8.885918222449915,0.015514033143124975,0.018208825261863907,0.0,0.05811320754716981,0.13443524035620352,99.82232808336593,8.885918222449915,0.015514033143124975,2.4183578491210938,0.13443524035620352,99.82232808336593
