,adapter_dir,prompt_len,output_len,request_latency,first_token_latency,req_time,interaction_id,req_id,sys_len,app,input99app,sys99app,output99app,priorityfactor,app_limit,llmcalls,llmcalls_made
0,dummy-lora-7b-rank-8-487,694,5,1.379997730255127,1.2508106231689453,14.0,161280,2015,0,17,5770,1,57,1,2000,2,1
1,dummy-lora-7b-rank-8-488,63,1,1.249842643737793,1.2496535778045654,14.0,161291,2016,0,17,5770,1,57,1,2000,4,1
2,dummy-lora-7b-rank-8-14,276,16,2.527236223220825,1.2490482330322266,14.0,142184,2017,0,11,1809,1,86,1,2000,1,1
3,dummy-lora-7b-rank-8-185,186,109,13.715054988861084,1.2481703758239746,14.0,15,2018,0,18,1735,1,538,1,2000,18,15
4,dummy-lora-7b-rank-8-222,159,46,6.255109786987305,1.24714994430542,14.0,3,2019,0,18,1735,1,538,1,2000,22,4
5,dummy-lora-7b-rank-8-30,852,39,6.325729608535767,2.395738124847412,14.0,161133,2020,0,17,5770,1,57,1,2000,4,4
6,dummy-lora-7b-rank-8-163,156,69,10.026397228240967,2.3949837684631348,14.0,29,2021,0,18,1735,1,538,1,2000,29,25
7,dummy-lora-7b-rank-8-30,661,3,2.446540117263794,2.3932929039001465,14.0,161285,2022,0,17,5770,1,57,1,2000,5,2
8,dummy-lora-7b-rank-8-14,560,16,3.736818790435791,2.392072916030884,14.0,142183,2023,0,11,1809,1,86,1,2000,1,1
9,dummy-lora-7b-rank-8-424,565,6,2.520723581314087,2.3920176029205322,14.0,53706,2024,0,7,3758,1,57,1,2000,1,1
10,dummy-lora-7b-rank-8-484,739,6,2.519307851791382,2.3906261920928955,14.0,161283,2025,0,17,5770,1,57,1,2000,4,2
11,dummy-lora-7b-rank-8-105,61,4,2.466984510421753,2.3888280391693115,14.0,43233,2026,0,22,3296,1,134,1,2000,288,55
12,dummy-lora-7b-rank-8-248,538,8,2.5653271675109863,2.3884360790252686,14.0,53708,2027,0,7,3758,1,57,1,2000,1,1
13,dummy-lora-7b-rank-8-489,473,6,2.5161468982696533,2.387333393096924,14.0,53709,2028,0,7,3758,1,57,1,2000,1,1
14,dummy-lora-7b-rank-8-409,543,6,2.5149786472320557,2.3863368034362793,14.0,53710,2029,0,7,3758,1,57,1,2000,1,1
15,dummy-lora-7b-rank-8-490,495,22,4.874758005142212,2.384916067123413,14.0,53711,2030,0,7,3758,1,57,1,2000,1,1
16,dummy-lora-7b-rank-8-341,413,6,2.5122921466827393,2.3838400840759277,14.0,53712,2031,0,7,3758,1,57,1,2000,1,1
17,dummy-lora-7b-rank-8-136,569,7,2.536147356033325,2.3829853534698486,14.0,53713,2032,0,7,3758,1,57,1,2000,1,1
18,dummy-lora-7b-rank-8-139,496,8,2.5591557025909424,2.3814375400543213,14.0,53714,2034,0,7,3758,1,57,1,2000,1,1
19,dummy-lora-7b-rank-8-492,1793,7,2.53190279006958,2.378816604614258,14.0,53716,2035,0,7,3758,1,57,1,2000,1,1
20,dummy-lora-7b-rank-8-203,415,6,2.5062103271484375,2.3775932788848877,14.0,53717,2036,0,7,3758,1,57,1,2000,1,1
21,dummy-lora-7b-rank-8-154,650,8,2.55405592918396,2.37683367729187,14.0,53718,2037,0,7,3758,1,57,1,2000,1,1
22,dummy-lora-7b-rank-8-485,752,1,2.3759374618530273,2.375753402709961,14.0,161284,2038,0,17,5770,1,57,1,2000,3,2
23,dummy-lora-7b-rank-8-326,1355,1,2.3745014667510986,2.37416672706604,14.0,161166,2040,0,17,5770,1,57,1,2000,4,3
24,dummy-lora-7b-rank-8-21,572,6,2.502166509628296,2.3734779357910156,14.0,53715,2041,0,7,3758,1,57,1,2000,1,1
25,dummy-lora-7b-rank-8-401,1456,9,2.574575185775757,2.372370481491089,14.0,161242,2042,0,17,5770,1,57,1,2000,4,4
26,dummy-lora-7b-rank-8-325,1161,9,3.6820731163024902,3.4845337867736816,14.0,161174,2043,0,17,5770,1,57,1,2000,4,4
27,dummy-lora-7b-rank-8-375,826,7,3.631070137023926,3.483794689178467,14.0,161209,2044,0,17,5770,1,57,1,2000,4,4
28,dummy-lora-7b-rank-8-14,1341,33,7.2636024951934814,3.481167793273926,14.0,237960,2045,0,21,16334,1,535,1,2000,1,1
29,dummy-lora-7b-rank-8-14,1632,162,22.648345470428467,3.481301784515381,14.0,237959,2046,0,21,16334,1,535,1,2000,1,1
30,dummy-lora-7b-rank-8-14,1575,141,19.651785850524902,3.479508876800537,14.0,237958,2047,0,21,16334,1,535,1,2000,1,1
31,dummy-lora-7b-rank-8-493,202,8,3.65059757232666,3.4780235290527344,14.0,29175,2049,0,3,1979,1,128,1,2000,1,1
32,dummy-lora-7b-rank-8-14,934,27,7.371617317199707,4.711176872253418,14.0,237955,2050,0,21,16334,1,535,1,2000,1,1
33,dummy-lora-7b-rank-8-494,45,1,3.476682424545288,3.4762179851531982,14.0,231827,2052,0,19,3714,1,32,1,2000,2,1
34,dummy-lora-7b-rank-8-44,994,2,3.5008184909820557,3.47517466545105,14.0,231823,2053,0,19,3714,1,32,1,2000,2,2
35,dummy-lora-7b-rank-8-390,281,26,6.1105287075042725,3.474774122238159,14.0,4503,2055,0,1,9224,1,87,1,2000,2,2
36,dummy-lora-7b-rank-8-495,440,1,3.4738922119140625,3.473705291748047,14.0,4507,2056,0,1,9224,1,87,1,2000,2,1
37,dummy-lora-7b-rank-8-496,45,1,3.472163677215576,3.4716830253601074,14.0,149774,2057,0,14,6370,1,102,1,2000,3,1
38,dummy-lora-7b-rank-8-473,44,1,3.471558094024658,3.4713454246520996,14.0,149772,2058,0,14,6370,1,102,1,2000,3,2
39,dummy-lora-7b-rank-8-419,1580,1,3.4701039791107178,3.469623565673828,14.0,125924,2059,0,9,6481,1,66,1,2000,4,3
40,dummy-lora-7b-rank-8-497,511,1,3.4695212841033936,3.4693603515625,14.0,125926,2060,0,9,6481,1,66,1,2000,2,1
41,dummy-lora-7b-rank-8-0,749,3,3.5172436237335205,3.467221260070801,14.0,40694,2062,0,5,4606,1,48,1,2000,12,1
42,dummy-lora-7b-rank-8-411,792,6,3.588632822036743,3.4662821292877197,14.0,40695,2063,0,5,4606,1,48,1,2000,5,1
43,dummy-lora-7b-rank-8-0,205,6,3.587709903717041,3.466085433959961,14.0,40694,2064,0,5,4606,1,48,1,2000,12,2
44,dummy-lora-7b-rank-8-499,1017,3,3.51435923576355,3.464498519897461,14.0,40696,2065,0,5,4606,1,48,1,2000,1,1
45,dummy-lora-7b-rank-8-500,1311,2,3.4891974925994873,3.4641542434692383,14.0,40697,2066,0,5,4606,1,48,1,2000,1,1
