,adapter_dir,prompt_len,output_len,request_latency,first_token_latency,req_time,interaction_id,req_id,sys_len,app,input99app,sys99app,output99app,priorityfactor,app_limit,llmcalls,llmcalls_made
0,dummy-lora-7b-rank-8-0,178,18,2.7366223335266113,1.5433533191680908,0.0,0,0,0,0,4489,1,212,1,2000,1,1
1,dummy-lora-7b-rank-8-2,532,8,1.756528377532959,1.541978120803833,0.0,160977,2,0,17,5770,1,57,1,2000,12,1
2,dummy-lora-7b-rank-8-3,732,2,1.5930261611938477,1.5410277843475342,0.0,160976,3,0,17,5770,1,57,1,2000,4,1
3,dummy-lora-7b-rank-8-4,604,1,1.5406575202941895,1.5404736995697021,0.0,160975,4,0,17,5770,1,57,1,2000,4,1
4,dummy-lora-7b-rank-8-5,225,20,2.784651756286621,1.539865255355835,0.0,157161,5,0,16,2901,1,153,1,2000,1,1
5,dummy-lora-7b-rank-8-6,225,18,2.732339859008789,1.538966417312622,0.0,157160,6,0,16,2901,1,153,1,2000,1,1
6,dummy-lora-7b-rank-8-7,947,3,2.602715015411377,2.5476081371307373,0.0,156466,7,0,15,8829,1,53,1,2000,4,1
7,dummy-lora-7b-rank-8-8,44,1,2.547844648361206,2.54760479927063,0.0,156465,8,0,14,6370,1,102,1,2000,1,1
8,dummy-lora-7b-rank-8-9,44,1,2.5466983318328857,2.5461974143981934,0.0,149744,9,0,14,6370,1,102,1,2000,3,1
9,dummy-lora-7b-rank-8-10,1459,61,8.66582989692688,2.545839786529541,0.0,149743,10,0,14,6370,1,102,1,2000,1,1
10,dummy-lora-7b-rank-8-11,414,4,2.6250035762786865,2.5437352657318115,0.0,149742,11,0,14,6370,1,102,1,2000,2,1
11,dummy-lora-7b-rank-8-12,212,33,5.951033592224121,2.543682813644409,0.0,149741,12,0,14,6370,1,102,1,2000,1,1
12,dummy-lora-7b-rank-8-13,711,77,11.110118627548218,2.5428004264831543,0.0,149740,13,0,13,7011,1,577,1,2000,1,1
13,dummy-lora-7b-rank-8-3,140,1,2.5420660972595215,2.5418550968170166,0.0,160976,14,0,17,5770,1,57,1,2000,4,2
14,dummy-lora-7b-rank-8-14,959,9,2.7493464946746826,2.5400800704956055,0.0,142163,15,0,10,14854,1,74,1,2000,1,1
15,dummy-lora-7b-rank-8-14,197,6,2.6712872982025146,2.539679765701294,0.0,142160,17,0,10,14854,1,74,1,2000,1,1
16,dummy-lora-7b-rank-8-14,1282,12,3.8500165939331055,2.5379104614257812,0.0,129887,20,0,10,14854,1,74,1,2000,1,1
17,dummy-lora-7b-rank-8-15,471,1,2.5373570919036865,2.537116050720215,0.0,129886,21,0,9,6481,1,66,1,2000,1,1
18,dummy-lora-7b-rank-8-17,726,3,2.5909438133239746,2.5361123085021973,0.0,125897,23,0,9,6481,1,66,1,2000,5,1
19,dummy-lora-7b-rank-8-17,64,1,2.5353050231933594,2.5350635051727295,0.0,125897,24,0,9,6481,1,66,1,2000,5,2
20,dummy-lora-7b-rank-8-19,224,1,2.5339176654815674,2.533384084701538,0.0,125894,27,0,9,6481,1,66,1,2000,4,1
21,dummy-lora-7b-rank-8-20,661,3,2.5876264572143555,2.5319764614105225,0.0,125893,28,0,9,6481,1,66,1,2000,1,1
22,dummy-lora-7b-rank-8-14,828,8,2.7149317264556885,2.530968189239502,0.0,142162,29,0,10,14854,1,74,1,2000,1,1
23,dummy-lora-7b-rank-8-14,219,1,2.530608654022217,2.530060291290283,0.0,125892,30,0,8,1172,1,4,1,2000,1,1
24,dummy-lora-7b-rank-8-21,904,11,2.790212392807007,2.5290675163269043,0.0,160979,31,0,17,5770,1,57,1,2000,3,1
25,dummy-lora-7b-rank-8-22,358,6,2.6604433059692383,2.5282716751098633,0.0,160981,32,0,17,5770,1,57,1,2000,1,1
26,dummy-lora-7b-rank-8-23,658,7,2.6849656105041504,2.527860164642334,0.0,160980,33,0,17,5770,1,57,1,2000,4,1
27,dummy-lora-7b-rank-8-24,742,2,3.8382508754730225,3.798114061355591,0.0,160995,34,0,17,5770,1,57,1,2000,5,1
28,dummy-lora-7b-rank-8-25,653,5,3.9139277935028076,3.7969024181365967,0.0,160990,35,0,17,5770,1,57,1,2000,4,1
29,dummy-lora-7b-rank-8-26,45,1,3.7955849170684814,3.794997453689575,0.0,160999,36,0,17,5770,1,57,1,2000,7,1
30,dummy-lora-7b-rank-8-27,447,4,3.886770009994507,3.7958812713623047,0.0,160997,37,0,17,5770,1,57,1,2000,2,1
31,dummy-lora-7b-rank-8-28,83,1,3.7953083515167236,3.7948639392852783,0.0,160998,38,0,17,5770,1,57,1,2000,4,1
32,dummy-lora-7b-rank-8-27,364,4,3.884540319442749,3.792712926864624,0.0,160997,39,0,17,5770,1,57,1,2000,2,2
33,dummy-lora-7b-rank-8-29,606,7,3.9599146842956543,3.791884660720825,0.0,160996,40,0,17,5770,1,57,1,2000,1,1
34,dummy-lora-7b-rank-8-24,122,1,3.791433572769165,3.7907371520996094,0.0,160995,41,0,17,5770,1,57,1,2000,5,2
35,dummy-lora-7b-rank-8-30,67,1,3.791022300720215,3.79058575630188,0.0,160994,42,0,17,5770,1,57,1,2000,4,1
36,dummy-lora-7b-rank-8-31,1457,1,3.7899482250213623,3.7895233631134033,0.0,160993,43,0,17,5770,1,57,1,2000,2,1
37,dummy-lora-7b-rank-8-32,866,4,3.8793208599090576,3.788264274597168,0.0,160986,44,0,17,5770,1,57,1,2000,4,1
38,dummy-lora-7b-rank-8-33,1306,18,4.8381805419921875,3.7873148918151855,0.0,160992,45,0,17,5770,1,57,1,2000,1,1
39,dummy-lora-7b-rank-8-23,67,1,3.7866992950439453,3.7862937450408936,0.0,160980,46,0,17,5770,1,57,1,2000,4,2
40,dummy-lora-7b-rank-8-34,997,1,3.7850823402404785,3.784376382827759,0.0,160991,47,0,17,5770,1,57,1,2000,2,1
41,dummy-lora-7b-rank-8-35,746,1,3.7838618755340576,3.7831475734710693,0.0,160985,48,0,17,5770,1,57,1,2000,3,1
42,dummy-lora-7b-rank-8-37,561,3,3.847644567489624,3.7823245525360107,0.0,160982,50,0,17,5770,1,57,1,2000,4,1
43,dummy-lora-7b-rank-8-38,1139,4,3.873121500015259,3.7812180519104004,0.0,160988,51,0,17,5770,1,57,1,2000,4,1
44,dummy-lora-7b-rank-8-39,116,1,3.7798731327056885,3.7792887687683105,0.0,160987,52,0,17,5770,1,57,1,2000,2,1
45,dummy-lora-7b-rank-8-32,234,1,3.7805140018463135,3.780111074447632,0.0,160986,53,0,17,5770,1,57,1,2000,4,2
46,dummy-lora-7b-rank-8-37,409,2,3.818324089050293,3.778179168701172,0.0,160982,54,0,17,5770,1,57,1,2000,4,2
47,dummy-lora-7b-rank-8-35,113,1,3.7784926891326904,3.778022289276123,0.0,160985,55,0,17,5770,1,57,1,2000,3,2
48,dummy-lora-7b-rank-8-40,867,1,3.7766008377075195,3.775909900665283,0.0,160984,56,0,17,5770,1,57,1,2000,4,1
49,dummy-lora-7b-rank-8-37,364,2,3.8149843215942383,3.774874448776245,0.0,160982,57,0,17,5770,1,57,1,2000,4,3
50,dummy-lora-7b-rank-8-41,1863,1,3.7750983238220215,3.7746853828430176,0.0,160983,58,0,17,5770,1,57,1,2000,2,1
