,adapter_dir,prompt_len,output_len,request_latency,first_token_latency,req_time,interaction_id,req_id,sys_len,app,input99app,sys99app,output99app,priorityfactor,app_limit,llmcalls,llmcalls_made
0,dummy-lora-7b-rank-8-0,178,18,2.588913917541504,1.509793996810913,0.0,0,0,0,2,25772,1,522,1,2000,1,1
1,dummy-lora-7b-rank-8-2,532,8,2.5874383449554443,2.381880760192871,0.0,160977,2,0,2,24866,1,590,1,2000,12,1
2,dummy-lora-7b-rank-8-3,732,2,2.4128215312957764,2.3809239864349365,0.0,160976,3,0,2,24866,1,590,1,2000,4,1
3,dummy-lora-7b-rank-8-4,604,1,2.3804850578308105,2.380208969116211,0.0,160975,4,0,2,24866,1,590,1,2000,4,1
4,dummy-lora-7b-rank-8-5,225,20,3.900616407394409,2.379714250564575,0.0,157161,5,0,2,14995,1,287,1,2000,1,1
5,dummy-lora-7b-rank-8-6,225,18,3.845581531524658,2.3780860900878906,0.0,157160,6,0,2,14995,1,287,1,2000,1,1
6,dummy-lora-7b-rank-8-7,947,3,2.4399476051330566,2.3774964809417725,0.0,156466,7,0,2,30310,1,518,1,2000,2,1
7,dummy-lora-7b-rank-8-8,44,1,2.3769571781158447,2.376667022705078,0.0,156465,8,0,2,45254,1,733,1,2000,1,1
8,dummy-lora-7b-rank-8-9,44,1,2.376312255859375,2.376055955886841,0.0,149744,9,0,2,45254,1,733,1,2000,3,1
9,dummy-lora-7b-rank-8-10,1459,61,8.633479356765747,2.374962329864502,0.0,149743,10,0,2,45254,1,733,1,2000,1,1
10,dummy-lora-7b-rank-8-11,414,4,2.472134828567505,2.3739094734191895,0.0,149742,11,0,2,45254,1,733,1,2000,2,1
11,dummy-lora-7b-rank-8-12,212,33,5.8672194480896,2.3729653358459473,0.0,149741,12,0,2,45254,1,733,1,2000,1,1
12,dummy-lora-7b-rank-8-13,711,77,11.107641458511353,2.3719043731689453,0.0,149740,13,0,2,39047,1,1325,1,2000,1,1
13,dummy-lora-7b-rank-8-3,140,1,2.3703901767730713,2.36993408203125,0.0,160976,14,0,2,24866,1,590,1,2000,4,2
14,dummy-lora-7b-rank-8-14,959,9,2.602996587753296,2.3696019649505615,0.0,142163,15,0,2,56808,1,157,1,2000,1,1
15,dummy-lora-7b-rank-8-14,197,6,2.5199856758117676,2.368391513824463,0.0,142160,17,0,2,56808,1,157,1,2000,1,1
16,dummy-lora-7b-rank-8-14,1282,12,3.652434825897217,2.367131233215332,0.0,129887,20,0,2,56808,1,157,1,2000,1,1
17,dummy-lora-7b-rank-8-15,471,1,2.365866184234619,2.365530014038086,0.0,129886,21,0,2,23936,1,634,1,2000,3,3
18,dummy-lora-7b-rank-8-17,726,3,3.6776158809661865,3.6079254150390625,0.0,125897,23,0,2,23936,1,634,1,2000,5,2
19,dummy-lora-7b-rank-8-17,64,1,3.6086297035217285,3.6083743572235107,0.0,125897,24,0,2,23936,1,634,1,2000,5,1
20,dummy-lora-7b-rank-8-19,224,1,3.6067512035369873,3.6061177253723145,0.0,125894,27,0,2,23936,1,634,1,2000,4,1
21,dummy-lora-7b-rank-8-20,661,3,3.674567699432373,3.605304479598999,0.0,125893,28,0,2,23936,1,634,1,2000,1,1
