,adapter_dir,prompt_len,output_len,request_latency,first_token_latency,req_time,interaction_id,req_id,sys_len,app,input99app,sys99app,output99app,priorityfactor,app_limit,llmcalls,llmcalls_made
0,dummy-lora-7b-rank-8-0,178,18,2.849072217941284,1.6224768161773682,0.0,0,0,0,2,25772,1,522,1,2000,1,1
1,dummy-lora-7b-rank-8-2,532,8,1.8508639335632324,1.6215198040008545,0.0,160977,2,0,2,24866,1,590,1,2000,12,1
2,dummy-lora-7b-rank-8-3,732,2,1.6764090061187744,1.6204664707183838,0.0,160976,3,0,2,24866,1,590,1,2000,4,1
3,dummy-lora-7b-rank-8-4,604,1,1.6198911666870117,1.6196691989898682,0.0,160975,4,0,2,24866,1,590,1,2000,4,1
4,dummy-lora-7b-rank-8-5,225,20,2.8997132778167725,1.618830919265747,0.0,157161,5,0,2,14995,1,287,1,2000,1,1
5,dummy-lora-7b-rank-8-6,225,18,2.844538688659668,1.6180329322814941,0.0,157160,6,0,2,14995,1,287,1,2000,1,1
6,dummy-lora-7b-rank-8-7,947,3,2.700512170791626,2.6428356170654297,0.0,156466,7,0,2,30310,1,518,1,2000,2,1
7,dummy-lora-7b-rank-8-8,44,1,2.6417157649993896,2.6413345336914062,0.0,156465,8,0,2,45254,1,733,1,2000,1,1
8,dummy-lora-7b-rank-8-9,44,1,2.64102840423584,2.640660047531128,0.0,149744,9,0,2,45254,1,733,1,2000,3,1
9,dummy-lora-7b-rank-8-10,1459,61,8.822273969650269,2.6396079063415527,0.0,149743,10,0,2,45254,1,733,1,2000,1,1
10,dummy-lora-7b-rank-8-11,414,4,2.7242228984832764,2.639163017272949,0.0,149742,11,0,2,45254,1,733,1,2000,2,1
11,dummy-lora-7b-rank-8-12,212,33,6.09442663192749,2.6371910572052,0.0,149741,12,0,2,45254,1,733,1,2000,1,1
12,dummy-lora-7b-rank-8-13,711,77,11.257999897003174,2.6369667053222656,0.0,149740,13,0,2,39047,1,1325,1,2000,1,1
13,dummy-lora-7b-rank-8-3,140,1,2.636409282684326,2.6362459659576416,0.0,160976,14,0,2,24866,1,590,1,2000,4,2
14,dummy-lora-7b-rank-8-14,959,9,2.8630967140197754,2.6351048946380615,0.0,142163,15,0,2,56808,1,157,1,2000,1,1
15,dummy-lora-7b-rank-8-14,197,6,2.77316951751709,2.633129835128784,0.0,142160,17,0,2,56808,1,157,1,2000,1,1
16,dummy-lora-7b-rank-8-14,1282,12,3.9653165340423584,2.632512092590332,0.0,129887,20,0,2,56808,1,157,1,2000,1,1
17,dummy-lora-7b-rank-8-15,471,1,2.63177227973938,2.6316046714782715,0.0,129886,21,0,2,23936,1,634,1,2000,3,3
18,dummy-lora-7b-rank-8-17,726,3,2.688218593597412,2.629870891571045,0.0,125897,23,0,2,23936,1,634,1,2000,5,2
19,dummy-lora-7b-rank-8-17,64,1,2.629716157913208,2.629542350769043,0.0,125897,24,0,2,23936,1,634,1,2000,5,1
20,dummy-lora-7b-rank-8-19,224,1,2.6283390522003174,2.627917528152466,0.0,125894,27,0,2,23936,1,634,1,2000,4,1
21,dummy-lora-7b-rank-8-20,661,3,2.6850104331970215,2.627490997314453,0.0,125893,28,0,2,23936,1,634,1,2000,1,1
22,dummy-lora-7b-rank-8-14,828,8,2.8273041248321533,2.6258842945098877,0.0,142162,29,0,2,56808,1,157,1,2000,1,1
23,dummy-lora-7b-rank-8-14,219,1,2.625159502029419,2.624678373336792,0.0,125892,30,0,2,1957,1,11,1,2000,1,1
24,dummy-lora-7b-rank-8-21,904,11,2.9064059257507324,2.6232008934020996,0.0,160979,31,0,2,24866,1,590,1,2000,3,1
25,dummy-lora-7b-rank-8-22,358,6,2.7621171474456787,2.6225335597991943,0.0,160981,32,0,2,24866,1,590,1,2000,1,1
26,dummy-lora-7b-rank-8-23,658,7,2.7882065773010254,2.6216201782226562,0.0,160980,33,0,2,24866,1,590,1,2000,4,2
27,dummy-lora-7b-rank-8-24,742,2,3.9535841941833496,3.9104371070861816,0.0,160995,34,0,2,24866,1,590,1,2000,5,2
28,dummy-lora-7b-rank-8-25,653,5,4.0415544509887695,3.909332036972046,0.0,160990,35,0,2,24866,1,590,1,2000,4,2
29,dummy-lora-7b-rank-8-26,45,1,3.9086568355560303,3.9083454608917236,0.0,160999,36,0,2,24866,1,590,1,2000,7,1
30,dummy-lora-7b-rank-8-27,447,4,4.02332878112793,3.9072279930114746,0.0,160997,37,0,2,24866,1,590,1,2000,2,2
31,dummy-lora-7b-rank-8-28,83,1,3.906388998031616,3.906059503555298,0.0,160998,38,0,2,24866,1,590,1,2000,4,1
32,dummy-lora-7b-rank-8-27,364,4,4.021043300628662,3.9042184352874756,0.0,160997,39,0,2,24866,1,590,1,2000,2,1
33,dummy-lora-7b-rank-8-29,606,7,4.096531629562378,3.9039242267608643,0.0,160996,40,0,2,24866,1,590,1,2000,1,1
34,dummy-lora-7b-rank-8-24,122,1,3.903362512588501,3.903071403503418,0.0,160995,41,0,2,24866,1,590,1,2000,5,1
35,dummy-lora-7b-rank-8-30,67,1,3.901665449142456,3.9010446071624756,0.0,160994,42,0,2,24866,1,590,1,2000,4,1
36,dummy-lora-7b-rank-8-31,1457,1,3.9003515243530273,3.8996899127960205,0.0,160993,43,0,2,24866,1,590,1,2000,2,1
37,dummy-lora-7b-rank-8-32,866,4,4.015853643417358,3.899742603302002,0.0,160986,44,0,2,24866,1,590,1,2000,4,2
38,dummy-lora-7b-rank-8-33,1306,18,4.97224497795105,3.8979034423828125,0.0,160992,45,0,2,24866,1,590,1,2000,1,1
39,dummy-lora-7b-rank-8-23,67,1,3.897859573364258,3.8975119590759277,0.0,160980,46,0,2,24866,1,590,1,2000,4,1
40,dummy-lora-7b-rank-8-34,997,1,3.896383285522461,3.895787239074707,0.0,160991,47,0,2,24866,1,590,1,2000,2,1
41,dummy-lora-7b-rank-8-35,746,1,3.8953769207000732,3.894788980484009,0.0,160985,48,0,2,24866,1,590,1,2000,3,2
42,dummy-lora-7b-rank-8-37,561,3,3.9664230346679688,3.893556594848633,0.0,160982,50,0,2,24866,1,590,1,2000,4,4
43,dummy-lora-7b-rank-8-38,1139,4,4.009460687637329,3.892446517944336,0.0,160988,51,0,2,24866,1,590,1,2000,4,1
44,dummy-lora-7b-rank-8-39,116,1,3.8919594287872314,3.8913111686706543,0.0,160987,52,0,2,24866,1,590,1,2000,2,1
45,dummy-lora-7b-rank-8-32,234,1,3.8914642333984375,3.891106128692627,0.0,160986,53,0,2,24866,1,590,1,2000,4,1
46,dummy-lora-7b-rank-8-37,409,2,3.932661533355713,3.888485908508301,0.0,160982,54,0,2,24866,1,590,1,2000,4,3
47,dummy-lora-7b-rank-8-35,113,1,3.88952374458313,3.889197587966919,0.0,160985,55,0,2,24866,1,590,1,2000,3,1
48,dummy-lora-7b-rank-8-40,867,1,3.888408660888672,3.888117790222168,0.0,160984,56,0,2,24866,1,590,1,2000,4,1
49,dummy-lora-7b-rank-8-37,364,2,3.9299428462982178,3.886037826538086,0.0,160982,57,0,2,24866,1,590,1,2000,4,2
50,dummy-lora-7b-rank-8-41,1863,1,3.8855888843536377,3.884937047958374,0.0,160983,58,0,2,24866,1,590,1,2000,2,1
