RequestId,prompt_len,output_len,app,inputmeanapp,input99app,outputmeanapp,output99app,sysmeanapp,sys99app,llmcalls,syslen,llmcalls_made
1,200,100,1,200,200,200,200,200,200,4,100,1
2,200,100,1,200,200,200,200,200,200,4,100,2
3,200,100,1,200,200,200,200,200,200,4,100,3
4,200,100,1,200,200,200,200,200,200,4,100,4
5,200,100,1,200,200,200,200,200,200,4,100,1
6,200,100,1,200,200,200,200,200,200,4,100,2
7,200,100,1,200,200,200,200,200,200,4,100,3
8,200,100,1,200,200,200,200,200,200,4,100,4
9,200,100,1,200,200,200,200,200,200,4,100,1
10,200,100,1,200,200,200,200,200,200,4,100,2
11,200,100,1,200,200,200,200,200,200,4,100,3
12,200,100,1,200,200,200,200,200,200,4,100,4
13,200,100,1,200,200,200,200,200,200,4,100,1
14,200,100,1,200,200,200,200,200,200,4,100,2
15,200,100,1,200,200,200,200,200,200,4,100,3
16,200,100,1,200,200,200,200,200,200,4,100,4
17,200,100,1,200,200,200,200,200,200,4,100,1
18,200,100,1,200,200,200,200,200,200,4,100,2
19,200,100,1,200,200,200,200,200,200,4,100,3
20,200,100,1,200,200,200,200,200,200,4,100,4
21,200,100,1,200,200,200,200,200,200,4,100,1
22,200,100,1,200,200,200,200,200,200,4,100,2
23,200,100,1,200,200,200,200,200,200,4,100,3
24,200,100,1,200,200,200,200,200,200,4,100,4
25,200,100,1,200,200,200,200,200,200,4,100,1
26,200,100,1,200,200,200,200,200,200,4,100,2
27,200,100,1,200,200,200,200,200,200,4,100,3
28,200,100,1,200,200,200,200,200,200,4,100,4
29,200,100,1,200,200,200,200,200,200,4,100,1
30,200,100,1,200,200,200,200,200,200,4,100,2
31,200,100,1,200,200,200,200,200,200,4,100,3
32,200,100,1,200,200,200,200,200,200,4,100,4
33,200,100,1,200,200,200,200,200,200,4,100,1
34,200,100,1,200,200,200,200,200,200,4,100,2
35,200,100,1,200,200,200,200,200,200,4,100,3
36,200,100,1,200,200,200,200,200,200,4,100,4
37,200,100,1,200,200,200,200,200,200,4,100,1
38,200,100,1,200,200,200,200,200,200,4,100,2
39,200,100,1,200,200,200,200,200,200,4,100,3
40,200,100,1,200,200,200,200,200,200,4,100,4
41,200,100,1,200,200,200,200,200,200,4,100,1
42,200,100,1,200,200,200,200,200,200,4,100,2
43,200,100,1,200,200,200,200,200,200,4,100,3
44,200,100,1,200,200,200,200,200,200,4,100,4
45,200,100,1,200,200,200,200,200,200,4,100,1
46,200,100,1,200,200,200,200,200,200,4,100,2
47,200,100,1,200,200,200,200,200,200,4,100,3
48,200,100,1,200,200,200,200,200,200,4,100,4
49,200,100,1,200,200,200,200,200,200,4,100,1
50,200,100,1,200,200,200,200,200,200,4,100,2
51,200,100,1,200,200,200,200,200,200,4,100,3
52,200,100,1,200,200,200,200,200,200,4,100,4
53,200,100,1,200,200,200,200,200,200,4,100,1
54,200,100,1,200,200,200,200,200,200,4,100,2
55,200,100,1,200,200,200,200,200,200,4,100,3
56,200,100,1,200,200,200,200,200,200,4,100,4
57,200,100,1,200,200,200,200,200,200,4,100,1
58,200,100,1,200,200,200,200,200,200,4,100,2
59,200,100,1,200,200,200,200,200,200,4,100,3
60,200,100,1,200,200,200,200,200,200,4,100,4
61,200,100,1,200,200,200,200,200,200,4,100,1
62,200,100,1,200,200,200,200,200,200,4,100,2
63,200,100,1,200,200,200,200,200,200,4,100,3
64,200,100,1,200,200,200,200,200,200,4,100,4
65,200,100,1,200,200,200,200,200,200,4,100,1
66,200,100,1,200,200,200,200,200,200,4,100,2
67,200,100,1,200,200,200,200,200,200,4,100,3
68,200,100,1,200,200,200,200,200,200,4,100,4
69,200,100,1,200,200,200,200,200,200,4,100,1
70,200,100,1,200,200,200,200,200,200,4,100,2
71,200,100,1,200,200,200,200,200,200,4,100,3
72,200,100,1,200,200,200,200,200,200,4,100,4
73,200,100,1,200,200,200,200,200,200,4,100,1
74,200,100,1,200,200,200,200,200,200,4,100,2
75,200,100,1,200,200,200,200,200,200,4,100,3
76,200,100,1,200,200,200,200,200,200,4,100,4
77,200,100,1,200,200,200,200,200,200,4,100,1
78,200,100,1,200,200,200,200,200,200,4,100,2
79,200,100,1,200,200,200,200,200,200,4,100,3
80,200,100,1,200,200,200,200,200,200,4,100,4
81,200,100,1,200,200,200,200,200,200,4,100,1
82,200,100,1,200,200,200,200,200,200,4,100,2
83,200,100,1,200,200,200,200,200,200,4,100,3
84,200,100,1,200,200,200,200,200,200,4,100,4
85,200,100,1,200,200,200,200,200,200,4,100,1
86,200,100,1,200,200,200,200,200,200,4,100,2
87,200,100,1,200,200,200,200,200,200,4,100,3
88,200,100,1,200,200,200,200,200,200,4,100,4
89,200,100,1,200,200,200,200,200,200,4,100,1
90,200,100,1,200,200,200,200,200,200,4,100,2
91,200,100,1,200,200,200,200,200,200,4,100,3
92,200,100,1,200,200,200,200,200,200,4,100,4
93,200,100,1,200,200,200,200,200,200,4,100,1
94,200,100,1,200,200,200,200,200,200,4,100,2
95,200,100,1,200,200,200,200,200,200,4,100,3
96,200,100,1,200,200,200,200,200,200,4,100,4
97,200,100,1,200,200,200,200,200,200,4,100,1
98,200,100,1,200,200,200,200,200,200,4,100,2
99,200,100,1,200,200,200,200,200,200,4,100,3
100,200,100,1,200,200,200,200,200,200,4,100,4
101,200,100,1,200,200,200,200,200,200,4,100,1
102,200,100,1,200,200,200,200,200,200,4,100,2
103,200,100,1,200,200,200,200,200,200,4,100,3
104,200,100,1,200,200,200,200,200,200,4,100,4
105,200,100,1,200,200,200,200,200,200,4,100,1
106,200,100,1,200,200,200,200,200,200,4,100,2
107,200,100,1,200,200,200,200,200,200,4,100,3
108,200,100,1,200,200,200,200,200,200,4,100,4
109,200,100,1,200,200,200,200,200,200,4,100,1
110,200,100,1,200,200,200,200,200,200,4,100,2
111,200,100,1,200,200,200,200,200,200,4,100,3
112,200,100,1,200,200,200,200,200,200,4,100,4
113,200,100,1,200,200,200,200,200,200,4,100,1
114,200,100,1,200,200,200,200,200,200,4,100,2
115,200,100,1,200,200,200,200,200,200,4,100,3
116,200,100,1,200,200,200,200,200,200,4,100,4
117,200,100,1,200,200,200,200,200,200,4,100,1
118,200,100,1,200,200,200,200,200,200,4,100,2
119,200,100,1,200,200,200,200,200,200,4,100,3
120,200,100,1,200,200,200,200,200,200,4,100,4
121,200,100,1,200,200,200,200,200,200,4,100,1
122,200,100,1,200,200,200,200,200,200,4,100,2
123,200,100,1,200,200,200,200,200,200,4,100,3
124,200,100,1,200,200,200,200,200,200,4,100,4
125,200,100,1,200,200,200,200,200,200,4,100,1
126,200,100,1,200,200,200,200,200,200,4,100,2
127,200,100,1,200,200,200,200,200,200,4,100,3
128,200,100,1,200,200,200,200,200,200,4,100,4
129,200,100,1,200,200,200,200,200,200,4,100,1
130,200,100,1,200,200,200,200,200,200,4,100,2
131,200,100,1,200,200,200,200,200,200,4,100,3
132,200,100,1,200,200,200,200,200,200,4,100,4
133,200,100,1,200,200,200,200,200,200,4,100,1
134,200,100,1,200,200,200,200,200,200,4,100,2
135,200,100,1,200,200,200,200,200,200,4,100,3
136,200,100,1,200,200,200,200,200,200,4,100,4
137,200,100,1,200,200,200,200,200,200,4,100,1
138,200,100,1,200,200,200,200,200,200,4,100,2
139,200,100,1,200,200,200,200,200,200,4,100,3
140,200,100,1,200,200,200,200,200,200,4,100,4
141,200,100,1,200,200,200,200,200,200,4,100,1
142,200,100,1,200,200,200,200,200,200,4,100,2
143,200,100,1,200,200,200,200,200,200,4,100,3
144,200,100,1,200,200,200,200,200,200,4,100,4
145,200,100,1,200,200,200,200,200,200,4,100,1
146,200,100,1,200,200,200,200,200,200,4,100,2
147,200,100,1,200,200,200,200,200,200,4,100,3
148,200,100,1,200,200,200,200,200,200,4,100,4
149,200,100,1,200,200,200,200,200,200,4,100,1
150,200,100,1,200,200,200,200,200,200,4,100,2
151,200,100,1,200,200,200,200,200,200,4,100,3
152,200,100,1,200,200,200,200,200,200,4,100,4
153,200,100,1,200,200,200,200,200,200,4,100,1
154,200,100,1,200,200,200,200,200,200,4,100,2
155,200,100,1,200,200,200,200,200,200,4,100,3
156,200,100,1,200,200,200,200,200,200,4,100,4
157,200,100,1,200,200,200,200,200,200,4,100,1
158,200,100,1,200,200,200,200,200,200,4,100,2
159,200,100,1,200,200,200,200,200,200,4,100,3
160,200,100,1,200,200,200,200,200,200,4,100,4
161,200,100,1,200,200,200,200,200,200,4,100,1
162,200,100,1,200,200,200,200,200,200,4,100,2
163,200,100,1,200,200,200,200,200,200,4,100,3
164,200,100,1,200,200,200,200,200,200,4,100,4
165,200,100,1,200,200,200,200,200,200,4,100,1
166,200,100,1,200,200,200,200,200,200,4,100,2
167,200,100,1,200,200,200,200,200,200,4,100,3
168,200,100,1,200,200,200,200,200,200,4,100,4
169,200,100,1,200,200,200,200,200,200,4,100,1
170,200,100,1,200,200,200,200,200,200,4,100,2
171,200,100,1,200,200,200,200,200,200,4,100,3
172,200,100,1,200,200,200,200,200,200,4,100,4
173,200,100,1,200,200,200,200,200,200,4,100,1
174,200,100,1,200,200,200,200,200,200,4,100,2
175,200,100,1,200,200,200,200,200,200,4,100,3
176,200,100,1,200,200,200,200,200,200,4,100,4
177,200,100,1,200,200,200,200,200,200,4,100,1
178,200,100,1,200,200,200,200,200,200,4,100,2
179,200,100,1,200,200,200,200,200,200,4,100,3
180,200,100,1,200,200,200,200,200,200,4,100,4
181,200,100,1,200,200,200,200,200,200,4,100,1
182,200,100,1,200,200,200,200,200,200,4,100,2
183,200,100,1,200,200,200,200,200,200,4,100,3
184,200,100,1,200,200,200,200,200,200,4,100,4
185,200,100,1,200,200,200,200,200,200,4,100,1
186,200,100,1,200,200,200,200,200,200,4,100,2
187,200,100,1,200,200,200,200,200,200,4,100,3
188,200,100,1,200,200,200,200,200,200,4,100,4
189,200,100,1,200,200,200,200,200,200,4,100,1
190,200,100,1,200,200,200,200,200,200,4,100,2
191,200,100,1,200,200,200,200,200,200,4,100,3
192,200,100,1,200,200,200,200,200,200,4,100,4
193,200,100,1,200,200,200,200,200,200,4,100,1
194,200,100,1,200,200,200,200,200,200,4,100,2
195,200,100,1,200,200,200,200,200,200,4,100,3
196,200,100,1,200,200,200,200,200,200,4,100,4
197,200,100,1,200,200,200,200,200,200,4,100,1
198,200,100,1,200,200,200,200,200,200,4,100,2
199,200,100,1,200,200,200,200,200,200,4,100,3
200,200,100,1,200,200,200,200,200,200,4,100,4
201,200,100,1,200,200,200,200,200,200,4,100,1
202,200,100,1,200,200,200,200,200,200,4,100,2
203,200,100,1,200,200,200,200,200,200,4,100,3
204,200,100,1,200,200,200,200,200,200,4,100,4
205,200,100,1,200,200,200,200,200,200,4,100,1
206,200,100,1,200,200,200,200,200,200,4,100,2
207,200,100,1,200,200,200,200,200,200,4,100,3
208,200,100,1,200,200,200,200,200,200,4,100,4
209,200,100,1,200,200,200,200,200,200,4,100,1
210,200,100,1,200,200,200,200,200,200,4,100,2
211,200,100,1,200,200,200,200,200,200,4,100,3
212,200,100,1,200,200,200,200,200,200,4,100,4
213,200,100,1,200,200,200,200,200,200,4,100,1
214,200,100,1,200,200,200,200,200,200,4,100,2
215,200,100,1,200,200,200,200,200,200,4,100,3
216,200,100,1,200,200,200,200,200,200,4,100,4
217,200,100,1,200,200,200,200,200,200,4,100,1
218,200,100,1,200,200,200,200,200,200,4,100,2
219,200,100,1,200,200,200,200,200,200,4,100,3
220,200,100,1,200,200,200,200,200,200,4,100,4
221,200,100,1,200,200,200,200,200,200,4,100,1
222,200,100,1,200,200,200,200,200,200,4,100,2
223,200,100,1,200,200,200,200,200,200,4,100,3
224,200,100,1,200,200,200,200,200,200,4,100,4
225,200,100,1,200,200,200,200,200,200,4,100,1
226,200,100,1,200,200,200,200,200,200,4,100,2
227,200,100,1,200,200,200,200,200,200,4,100,3
228,200,100,1,200,200,200,200,200,200,4,100,4
229,200,100,1,200,200,200,200,200,200,4,100,1
230,200,100,1,200,200,200,200,200,200,4,100,2
231,200,100,1,200,200,200,200,200,200,4,100,3
232,200,100,1,200,200,200,200,200,200,4,100,4
233,200,100,1,200,200,200,200,200,200,4,100,1
234,200,100,1,200,200,200,200,200,200,4,100,2
235,200,100,1,200,200,200,200,200,200,4,100,3
236,200,100,1,200,200,200,200,200,200,4,100,4
237,200,100,1,200,200,200,200,200,200,4,100,1
238,200,100,1,200,200,200,200,200,200,4,100,2
239,200,100,1,200,200,200,200,200,200,4,100,3
240,200,100,1,200,200,200,200,200,200,4,100,4
241,200,100,1,200,200,200,200,200,200,4,100,1
242,200,100,1,200,200,200,200,200,200,4,100,2
243,200,100,1,200,200,200,200,200,200,4,100,3
244,200,100,1,200,200,200,200,200,200,4,100,4
245,200,100,1,200,200,200,200,200,200,4,100,1
246,200,100,1,200,200,200,200,200,200,4,100,2
247,200,100,1,200,200,200,200,200,200,4,100,3
248,200,100,1,200,200,200,200,200,200,4,100,4
249,200,100,1,200,200,200,200,200,200,4,100,1
250,200,100,1,200,200,200,200,200,200,4,100,2
251,200,100,1,200,200,200,200,200,200,4,100,3
252,200,100,1,200,200,200,200,200,200,4,100,4
253,200,100,1,200,200,200,200,200,200,4,100,1
254,200,100,1,200,200,200,200,200,200,4,100,2
255,200,100,1,200,200,200,200,200,200,4,100,3
256,200,100,1,200,200,200,200,200,200,4,100,4
257,200,100,1,200,200,200,200,200,200,4,100,1
258,200,100,1,200,200,200,200,200,200,4,100,2
259,200,100,1,200,200,200,200,200,200,4,100,3
260,200,100,1,200,200,200,200,200,200,4,100,4
261,200,100,1,200,200,200,200,200,200,4,100,1
262,200,100,1,200,200,200,200,200,200,4,100,2
263,200,100,1,200,200,200,200,200,200,4,100,3
264,200,100,1,200,200,200,200,200,200,4,100,4
265,200,100,1,200,200,200,200,200,200,4,100,1
266,200,100,1,200,200,200,200,200,200,4,100,2
267,200,100,1,200,200,200,200,200,200,4,100,3
268,200,100,1,200,200,200,200,200,200,4,100,4
269,200,100,1,200,200,200,200,200,200,4,100,1
270,200,100,1,200,200,200,200,200,200,4,100,2
271,200,100,1,200,200,200,200,200,200,4,100,3
272,200,100,1,200,200,200,200,200,200,4,100,4
273,200,100,1,200,200,200,200,200,200,4,100,1
274,200,100,1,200,200,200,200,200,200,4,100,2
275,200,100,1,200,200,200,200,200,200,4,100,3
276,200,100,1,200,200,200,200,200,200,4,100,4
277,200,100,1,200,200,200,200,200,200,4,100,1
278,200,100,1,200,200,200,200,200,200,4,100,2
279,200,100,1,200,200,200,200,200,200,4,100,3
280,200,100,1,200,200,200,200,200,200,4,100,4
281,200,100,1,200,200,200,200,200,200,4,100,1
282,200,100,1,200,200,200,200,200,200,4,100,2
283,200,100,1,200,200,200,200,200,200,4,100,3
284,200,100,1,200,200,200,200,200,200,4,100,4
285,200,100,1,200,200,200,200,200,200,4,100,1
286,200,100,1,200,200,200,200,200,200,4,100,2
287,200,100,1,200,200,200,200,200,200,4,100,3
288,200,100,1,200,200,200,200,200,200,4,100,4
289,200,100,1,200,200,200,200,200,200,4,100,1
290,200,100,1,200,200,200,200,200,200,4,100,2
291,200,100,1,200,200,200,200,200,200,4,100,3
292,200,100,1,200,200,200,200,200,200,4,100,4
293,200,100,1,200,200,200,200,200,200,4,100,1
294,200,100,1,200,200,200,200,200,200,4,100,2
295,200,100,1,200,200,200,200,200,200,4,100,3
296,200,100,1,200,200,200,200,200,200,4,100,4
297,200,100,1,200,200,200,200,200,200,4,100,1
298,200,100,1,200,200,200,200,200,200,4,100,2
299,200,100,1,200,200,200,200,200,200,4,100,3
300,200,100,1,200,200,200,200,200,200,4,100,4
301,200,100,1,200,200,200,200,200,200,4,100,1
302,200,100,1,200,200,200,200,200,200,4,100,2
303,200,100,1,200,200,200,200,200,200,4,100,3
304,200,100,1,200,200,200,200,200,200,4,100,4
305,200,100,1,200,200,200,200,200,200,4,100,1
306,200,100,1,200,200,200,200,200,200,4,100,2
307,200,100,1,200,200,200,200,200,200,4,100,3
308,200,100,1,200,200,200,200,200,200,4,100,4
309,200,100,1,200,200,200,200,200,200,4,100,1
310,200,100,1,200,200,200,200,200,200,4,100,2
311,200,100,1,200,200,200,200,200,200,4,100,3
312,200,100,1,200,200,200,200,200,200,4,100,4
313,200,100,1,200,200,200,200,200,200,4,100,1
314,200,100,1,200,200,200,200,200,200,4,100,2
315,200,100,1,200,200,200,200,200,200,4,100,3
316,200,100,1,200,200,200,200,200,200,4,100,4
317,200,100,1,200,200,200,200,200,200,4,100,1
318,200,100,1,200,200,200,200,200,200,4,100,2
319,200,100,1,200,200,200,200,200,200,4,100,3
320,200,100,1,200,200,200,200,200,200,4,100,4
321,200,100,1,200,200,200,200,200,200,4,100,1
322,200,100,1,200,200,200,200,200,200,4,100,2
323,200,100,1,200,200,200,200,200,200,4,100,3
324,200,100,1,200,200,200,200,200,200,4,100,4
325,200,100,1,200,200,200,200,200,200,4,100,1
326,200,100,1,200,200,200,200,200,200,4,100,2
327,200,100,1,200,200,200,200,200,200,4,100,3
328,200,100,1,200,200,200,200,200,200,4,100,4
329,200,100,1,200,200,200,200,200,200,4,100,1
330,200,100,1,200,200,200,200,200,200,4,100,2
331,200,100,1,200,200,200,200,200,200,4,100,3
332,200,100,1,200,200,200,200,200,200,4,100,4
333,200,100,1,200,200,200,200,200,200,4,100,1
334,200,100,1,200,200,200,200,200,200,4,100,2
335,200,100,1,200,200,200,200,200,200,4,100,3
336,200,100,1,200,200,200,200,200,200,4,100,4
337,200,100,1,200,200,200,200,200,200,4,100,1
338,200,100,1,200,200,200,200,200,200,4,100,2
339,200,100,1,200,200,200,200,200,200,4,100,3
340,200,100,1,200,200,200,200,200,200,4,100,4
341,200,100,1,200,200,200,200,200,200,4,100,1
342,200,100,1,200,200,200,200,200,200,4,100,2
343,200,100,1,200,200,200,200,200,200,4,100,3
344,200,100,1,200,200,200,200,200,200,4,100,4
345,200,100,1,200,200,200,200,200,200,4,100,1
346,200,100,1,200,200,200,200,200,200,4,100,2
347,200,100,1,200,200,200,200,200,200,4,100,3
348,200,100,1,200,200,200,200,200,200,4,100,4
349,200,100,1,200,200,200,200,200,200,4,100,1
350,200,100,1,200,200,200,200,200,200,4,100,2
351,200,100,1,200,200,200,200,200,200,4,100,3
352,200,100,1,200,200,200,200,200,200,4,100,4
353,200,100,1,200,200,200,200,200,200,4,100,1
354,200,100,1,200,200,200,200,200,200,4,100,2
355,200,100,1,200,200,200,200,200,200,4,100,3
356,200,100,1,200,200,200,200,200,200,4,100,4
357,200,100,1,200,200,200,200,200,200,4,100,1
358,200,100,1,200,200,200,200,200,200,4,100,2
359,200,100,1,200,200,200,200,200,200,4,100,3
360,200,100,1,200,200,200,200,200,200,4,100,4
361,200,100,1,200,200,200,200,200,200,4,100,1
362,200,100,1,200,200,200,200,200,200,4,100,2
363,200,100,1,200,200,200,200,200,200,4,100,3
